"","run","year","precip"
"192",8,"17",8.89
"193",8,"18",26.67
"194",8,"19",53.34
"195",8,"20",8.89
"196",8,"21",26.67
"197",8,"22",26.67
"198",8,"23",26.67
"199",8,"24",80.01
"200",8,"25",26.67
"201",9,"1",53.34
"202",9,"2",26.67
"203",9,"3",26.67
"204",9,"4",26.67
"205",9,"5",8.89
"206",9,"6",53.34
"207",9,"7",8.89
"208",9,"8",26.67
"209",9,"9",8.89
"210",9,"10",53.34
"211",9,"11",53.34
"212",9,"12",53.34
"213",9,"13",26.67
"214",9,"14",26.67
"215",9,"15",53.34
"216",9,"16",53.34
"217",9,"17",26.67
"218",9,"18",26.67
"219",9,"19",26.67
"220",9,"20",8.89
"221",9,"21",26.67
"222",9,"22",26.67
"223",9,"23",53.34
"224",9,"24",8.89
"225",9,"25",26.67
"226",10,"1",8.89
"227",10,"2",26.67
"228",10,"3",8.89
"229",10,"4",53.34
"230",10,"5",26.67
"231",10,"6",26.67
"232",10,"7",26.67
"233",10,"8",26.67
"234",10,"9",26.67
"235",10,"10",26.67
"236",10,"11",26.67
"237",10,"12",26.67
"238",10,"13",26.67
"239",10,"14",26.67
"240",10,"15",26.67
"241",10,"16",53.34
"242",10,"17",26.67
"243",10,"18",26.67
"244",10,"19",8.89
"245",10,"20",53.34
"246",10,"21",26.67
"247",10,"22",8.89
"248",10,"23",26.67
"249",10,"24",26.67
"250",10,"25",80.01
"251",11,"1",8.89
"252",11,"2",80.01
"253",11,"3",53.34
"254",11,"4",26.67
"255",11,"5",80.01
"256",11,"6",53.34
"257",11,"7",26.67
"258",11,"8",8.89
"259",11,"9",53.34
"260",11,"10",26.67
"261",11,"11",26.67
"262",11,"12",53.34
"263",11,"13",8.89
"264",11,"14",8.89
"265",11,"15",53.34
"266",11,"16",53.34
"267",11,"17",8.89
"268",11,"18",53.34
"269",11,"19",26.67
"270",11,"20",8.89
"271",11,"21",53.34
"272",11,"22",26.67
"273",11,"23",26.67
"274",11,"24",26.67
"275",11,"25",26.67
"276",12,"1",53.34
"277",12,"2",53.34
"278",12,"3",53.34
"279",12,"4",53.34
"280",12,"5",26.67
"281",12,"6",53.34
"282",12,"7",26.67
"283",12,"8",80.01
"284",12,"9",26.67
"285",12,"10",53.34
"286",12,"11",8.89
"287",12,"12",26.67
"288",12,"13",53.34
"289",12,"14",26.67
"290",12,"15",80.01
"291",12,"16",26.67
"292",12,"17",53.34
"293",12,"18",53.34
"294",12,"19",8.89
"295",12,"20",26.67
"296",12,"21",26.67
"297",12,"22",26.67
"298",12,"23",53.34
"299",12,"24",26.67
"300",12,"25",26.67
"301",13,"1",26.67
"302",13,"2",8.89
"303",13,"3",26.67
"304",13,"4",26.67
"305",13,"5",26.67
"306",13,"6",26.67
"307",13,"7",53.34
"308",13,"8",53.34
"309",13,"9",26.67
"310",13,"10",26.67
"311",13,"11",8.89
"312",13,"12",80.01
"313",13,"13",26.67
"314",13,"14",26.67
"315",13,"15",53.34
"316",13,"16",26.67
"317",13,"17",26.67
"318",13,"18",26.67
"319",13,"19",8.89
"320",13,"20",53.34
"321",13,"21",8.89
"322",13,"22",53.34
"323",13,"23",8.89
"324",13,"24",26.67
"325",13,"25",8.89
"326",14,"1",26.67
"327",14,"2",26.67
"328",14,"3",26.67
"329",14,"4",80.01
"330",14,"5",26.67
"331",14,"6",26.67
"332",14,"7",8.89
"333",14,"8",26.67
"334",14,"9",8.89
"335",14,"10",53.34
"336",14,"11",8.89
"337",14,"12",53.34
"338",14,"13",8.89
"339",14,"14",53.34
"340",14,"15",80.01
"341",14,"16",26.67
"342",14,"17",53.34
"343",14,"18",26.67
"344",14,"19",26.67
"345",14,"20",8.89
"346",14,"21",26.67
"347",14,"22",53.34
"348",14,"23",26.67
"349",14,"24",80.01
"350",14,"25",53.34
"351",15,"1",26.67
"352",15,"2",53.34
"353",15,"3",8.89
"354",15,"4",8.89
"355",15,"5",8.89
"356",15,"6",26.67
"357",15,"7",26.67
"358",15,"8",26.67
"359",15,"9",53.34
"360",15,"10",26.67
"361",15,"11",26.67
"362",15,"12",8.89
"363",15,"13",53.34
"364",15,"14",8.89
"365",15,"15",26.67
"366",15,"16",26.67
"367",15,"17",80.01
"368",15,"18",8.89
"369",15,"19",26.67
"370",15,"20",53.34
"371",15,"21",53.34
"372",15,"22",26.67
"373",15,"23",26.67
"374",15,"24",26.67
"375",15,"25",8.89
"376",16,"1",26.67
"377",16,"2",53.34
"378",16,"3",26.67
"379",16,"4",26.67
"380",16,"5",26.67
"381",16,"6",53.34
"382",16,"7",53.34
"383",16,"8",26.67
"384",16,"9",26.67
"385",16,"10",26.67
"386",16,"11",26.67
"387",16,"12",26.67
"388",16,"13",26.67
"389",16,"14",26.67
"390",16,"15",26.67
"391",16,"16",53.34
"392",16,"17",26.67
"393",16,"18",26.67
"394",16,"19",80.01
"395",16,"20",53.34
"396",16,"21",53.34
"397",16,"22",26.67
"398",16,"23",53.34
"399",16,"24",8.89
"400",16,"25",26.67
"401",17,"1",26.67
"402",17,"2",53.34
"403",17,"3",26.67
"404",17,"4",26.67
"405",17,"5",8.89
"406",17,"6",53.34
"407",17,"7",53.34
"408",17,"8",26.67
"409",17,"9",80.01
"410",17,"10",26.67
"411",17,"11",53.34
"412",17,"12",53.34
"413",17,"13",53.34
"414",17,"14",26.67
"415",17,"15",26.67
"416",17,"16",26.67
"417",17,"17",26.67
"418",17,"18",53.34
"419",17,"19",53.34
"420",17,"20",53.34
"421",17,"21",53.34
"422",17,"22",53.34
"423",17,"23",53.34
"424",17,"24",26.67
"425",17,"25",26.67
"426",18,"1",26.67
"427",18,"2",53.34
"428",18,"3",80.01
"429",18,"4",26.67
"430",18,"5",26.67
"431",18,"6",8.89
"432",18,"7",26.67
"433",18,"8",8.89
"434",18,"9",26.67
"435",18,"10",8.89
"436",18,"11",26.67
"437",18,"12",26.67
"438",18,"13",26.67
"439",18,"14",8.89
"440",18,"15",26.67
"441",18,"16",53.34
"442",18,"17",53.34
"443",18,"18",26.67
"444",18,"19",8.89
"445",18,"20",80.01
"446",18,"21",8.89
"447",18,"22",8.89
"448",18,"23",26.67
"449",18,"24",26.67
"450",18,"25",26.67
"451",19,"1",53.34
"452",19,"2",53.34
"453",19,"3",26.67
"454",19,"4",53.34
"455",19,"5",53.34
"456",19,"6",8.89
"457",19,"7",26.67
"458",19,"8",26.67
"459",19,"9",26.67
"460",19,"10",53.34
"461",19,"11",8.89
"462",19,"12",26.67
"463",19,"13",8.89
"464",19,"14",53.34
"465",19,"15",26.67
"466",19,"16",26.67
"467",19,"17",26.67
"468",19,"18",53.34
"469",19,"19",8.89
"470",19,"20",53.34
"471",19,"21",26.67
"472",19,"22",53.34
"473",19,"23",26.67
"474",19,"24",26.67
"475",19,"25",8.89
"476",20,"1",26.67
"477",20,"2",26.67
"478",20,"3",26.67
"479",20,"4",53.34
"480",20,"5",26.67
"481",20,"6",8.89
"482",20,"7",8.89
"483",20,"8",80.01
"484",20,"9",26.67
"485",20,"10",8.89
"486",20,"11",26.67
"487",20,"12",26.67
"488",20,"13",53.34
"489",20,"14",8.89
"490",20,"15",8.89
"491",20,"16",26.67
"492",20,"17",26.67
"493",20,"18",26.67
"494",20,"19",26.67
"495",20,"20",26.67
"496",20,"21",26.67
"497",20,"22",8.89
"498",20,"23",26.67
"499",20,"24",26.67
"500",20,"25",80.01
"501",21,"1",8.89
"502",21,"2",53.34
"503",21,"3",8.89
"504",21,"4",53.34
"505",21,"5",26.67
"506",21,"6",8.89
"507",21,"7",8.89
"508",21,"8",26.67
"509",21,"9",8.89
"510",21,"10",53.34
"511",21,"11",26.67
"512",21,"12",26.67
"513",21,"13",26.67
"514",21,"14",80.01
"515",21,"15",53.34
"516",21,"16",26.67
"517",21,"17",26.67
"518",21,"18",53.34
"519",21,"19",26.67
"520",21,"20",26.67
"521",21,"21",8.89
"522",21,"22",8.89
"523",21,"23",26.67
"524",21,"24",26.67
"525",21,"25",26.67
"526",22,"1",26.67
"527",22,"2",8.89
"528",22,"3",26.67
"529",22,"4",26.67
"530",22,"5",26.67
"531",22,"6",26.67
"532",22,"7",80.01
"533",22,"8",26.67
"534",22,"9",26.67
"535",22,"10",8.89
"536",22,"11",8.89
"537",22,"12",53.34
"538",22,"13",53.34
"539",22,"14",26.67
"540",22,"15",26.67
"541",22,"16",26.67
"542",22,"17",26.67
"543",22,"18",26.67
"544",22,"19",8.89
"545",22,"20",26.67
"546",22,"21",26.67
"547",22,"22",8.89
"548",22,"23",53.34
"549",22,"24",26.67
"550",22,"25",80.01
"551",23,"1",26.67
"552",23,"2",26.67
"553",23,"3",53.34
"554",23,"4",26.67
"555",23,"5",26.67
"556",23,"6",53.34
"557",23,"7",53.34
"558",23,"8",26.67
"559",23,"9",8.89
"560",23,"10",53.34
"561",23,"11",26.67
"562",23,"12",8.89
"563",23,"13",8.89
"564",23,"14",53.34
"565",23,"15",26.67
"566",23,"16",53.34
"567",23,"17",26.67
"568",23,"18",26.67
"569",23,"19",8.89
"570",23,"20",53.34
"571",23,"21",26.67
"572",23,"22",80.01
"573",23,"23",8.89
"574",23,"24",8.89
"575",23,"25",26.67
"576",24,"1",53.34
"577",24,"2",26.67
"578",24,"3",8.89
"579",24,"4",53.34
"580",24,"5",26.67
"581",24,"6",80.01
"582",24,"7",26.67
"583",24,"8",26.67
"584",24,"9",26.67
"585",24,"10",26.67
"586",24,"11",53.34
"587",24,"12",26.67
"588",24,"13",80.01
"589",24,"14",26.67
"590",24,"15",26.67
"591",24,"16",53.34
"592",24,"17",53.34
"593",24,"18",26.67
"594",24,"19",80.01
"595",24,"20",26.67
"596",24,"21",53.34
"597",24,"22",26.67
"598",24,"23",8.89
"599",24,"24",26.67
"600",24,"25",26.67
"601",25,"1",53.34
"602",25,"2",26.67
"603",25,"3",26.67
"604",25,"4",26.67
"605",25,"5",26.67
"606",25,"6",8.89
"607",25,"7",8.89
"608",25,"8",8.89
"609",25,"9",53.34
"610",25,"10",26.67
"611",25,"11",8.89
"612",25,"12",53.34
"613",25,"13",8.89
"614",25,"14",26.67
"615",25,"15",8.89
"616",25,"16",26.67
"617",25,"17",53.34
"618",25,"18",8.89
"619",25,"19",8.89
"620",25,"20",53.34
"621",25,"21",26.67
"622",25,"22",53.34
"623",25,"23",26.67
"624",25,"24",26.67
"625",25,"25",26.67
"626",26,"1",53.34
"627",26,"2",26.67
"628",26,"3",8.89
"629",26,"4",26.67
"630",26,"5",26.67
"631",26,"6",26.67
"632",26,"7",8.89
"633",26,"8",53.34
"634",26,"9",53.34
"635",26,"10",8.89
"636",26,"11",8.89
"637",26,"12",80.01
"638",26,"13",53.34
"639",26,"14",26.67
"640",26,"15",53.34
"641",26,"16",8.89
"642",26,"17",26.67
"643",26,"18",26.67
"644",26,"19",53.34
"645",26,"20",26.67
"646",26,"21",26.67
"647",26,"22",53.34
"648",26,"23",26.67
"649",26,"24",26.67
"650",26,"25",8.89
"651",27,"1",53.34
"652",27,"2",80.01
"653",27,"3",53.34
"654",27,"4",53.34
"655",27,"5",8.89
"656",27,"6",26.67
"657",27,"7",53.34
"658",27,"8",26.67
"659",27,"9",53.34
"660",27,"10",26.67
"661",27,"11",53.34
"662",27,"12",53.34
"663",27,"13",53.34
"664",27,"14",8.89
"665",27,"15",80.01
"666",27,"16",53.34
"667",27,"17",26.67
"668",27,"18",26.67
"669",27,"19",26.67
"670",27,"20",26.67
"671",27,"21",8.89
"672",27,"22",26.67
"673",27,"23",8.89
"674",27,"24",26.67
"675",27,"25",8.89
"676",28,"1",80.01
"677",28,"2",26.67
"678",28,"3",80.01
"679",28,"4",53.34
"680",28,"5",26.67
"681",28,"6",80.01
"682",28,"7",8.89
"683",28,"8",80.01
"684",28,"9",8.89
"685",28,"10",26.67
"686",28,"11",53.34
"687",28,"12",8.89
"688",28,"13",26.67
"689",28,"14",26.67
"690",28,"15",26.67
"691",28,"16",26.67
"692",28,"17",26.67
"693",28,"18",8.89
"694",28,"19",53.34
"695",28,"20",26.67
"696",28,"21",26.67
"697",28,"22",26.67
"698",28,"23",26.67
"699",28,"24",53.34
"700",28,"25",26.67
"701",29,"1",53.34
"702",29,"2",53.34
"703",29,"3",80.01
"704",29,"4",26.67
"705",29,"5",53.34
"706",29,"6",8.89
"707",29,"7",26.67
"708",29,"8",53.34
"709",29,"9",53.34
"710",29,"10",53.34
"711",29,"11",8.89
"712",29,"12",53.34
"713",29,"13",8.89
"714",29,"14",26.67
"715",29,"15",26.67
"716",29,"16",8.89
"717",29,"17",53.34
"718",29,"18",53.34
"719",29,"19",26.67
"720",29,"20",53.34
"721",29,"21",26.67
"722",29,"22",26.67
"723",29,"23",26.67
"724",29,"24",26.67
"725",29,"25",26.67
"726",30,"1",26.67
"727",30,"2",26.67
"728",30,"3",26.67
"729",30,"4",26.67
"730",30,"5",26.67
"731",30,"6",26.67
"732",30,"7",53.34
"733",30,"8",53.34
"734",30,"9",8.89
"735",30,"10",53.34
"736",30,"11",53.34
"737",30,"12",53.34
"738",30,"13",8.89
"739",30,"14",8.89
"740",30,"15",53.34
"741",30,"16",8.89
"742",30,"17",8.89
"743",30,"18",53.34
"744",30,"19",53.34
"745",30,"20",80.01
"746",30,"21",8.89
"747",30,"22",53.34
"748",30,"23",26.67
"749",30,"24",53.34
"750",30,"25",53.34
"751",31,"1",26.67
"752",31,"2",26.67
"753",31,"3",8.89
"754",31,"4",53.34
"755",31,"5",26.67
"756",31,"6",26.67
"757",31,"7",53.34
"758",31,"8",26.67
"759",31,"9",80.01
"760",31,"10",26.67
"761",31,"11",53.34
"762",31,"12",8.89
"763",31,"13",26.67
"764",31,"14",26.67
"765",31,"15",26.67
"766",31,"16",80.01
"767",31,"17",26.67
"768",31,"18",8.89
"769",31,"19",53.34
"770",31,"20",53.34
"771",31,"21",26.67
"772",31,"22",26.67
"773",31,"23",26.67
"774",31,"24",26.67
"775",31,"25",26.67
"776",32,"1",26.67
"777",32,"2",8.89
"778",32,"3",80.01
"779",32,"4",26.67
"780",32,"5",26.67
"781",32,"6",26.67
"782",32,"7",26.67
"783",32,"8",53.34
"784",32,"9",53.34
"785",32,"10",53.34
"786",32,"11",26.67
"787",32,"12",26.67
"788",32,"13",8.89
"789",32,"14",53.34
"790",32,"15",26.67
"791",32,"16",8.89
"792",32,"17",26.67
"793",32,"18",26.67
"794",32,"19",8.89
"795",32,"20",26.67
"796",32,"21",26.67
"797",32,"22",26.67
"798",32,"23",53.34
"799",32,"24",26.67
"800",32,"25",26.67
"801",33,"1",26.67
"802",33,"2",53.34
"803",33,"3",26.67
"804",33,"4",53.34
"805",33,"5",53.34
"806",33,"6",26.67
"807",33,"7",53.34
"808",33,"8",26.67
"809",33,"9",26.67
"810",33,"10",53.34
"811",33,"11",26.67
"812",33,"12",8.89
"813",33,"13",53.34
"814",33,"14",26.67
"815",33,"15",80.01
"816",33,"16",26.67
"817",33,"17",53.34
"818",33,"18",8.89
"819",33,"19",53.34
"820",33,"20",26.67
"821",33,"21",53.34
"822",33,"22",26.67
"823",33,"23",8.89
"824",33,"24",80.01
"825",33,"25",53.34
"826",34,"1",53.34
"827",34,"2",26.67
"828",34,"3",26.67
"829",34,"4",80.01
"830",34,"5",26.67
"831",34,"6",26.67
"832",34,"7",8.89
"833",34,"8",80.01
"834",34,"9",26.67
"835",34,"10",8.89
"836",34,"11",26.67
"837",34,"12",53.34
"838",34,"13",8.89
"839",34,"14",26.67
"840",34,"15",53.34
"841",34,"16",26.67
"842",34,"17",26.67
"843",34,"18",26.67
"844",34,"19",8.89
"845",34,"20",53.34
"846",34,"21",53.34
"847",34,"22",53.34
"848",34,"23",26.67
"849",34,"24",26.67
"850",34,"25",26.67
"851",35,"1",26.67
"852",35,"2",53.34
"853",35,"3",53.34
"854",35,"4",8.89
"855",35,"5",8.89
"856",35,"6",26.67
"857",35,"7",53.34
"858",35,"8",8.89
"859",35,"9",26.67
"860",35,"10",26.67
"861",35,"11",53.34
"862",35,"12",26.67
"863",35,"13",53.34
"864",35,"14",26.67
"865",35,"15",26.67
"866",35,"16",53.34
"867",35,"17",53.34
"868",35,"18",53.34
"869",35,"19",26.67
"870",35,"20",26.67
"871",35,"21",53.34
"872",35,"22",26.67
"873",35,"23",53.34
"874",35,"24",53.34
"875",35,"25",26.67
"876",36,"1",26.67
"877",36,"2",53.34
"878",36,"3",53.34
"879",36,"4",8.89
"880",36,"5",26.67
"881",36,"6",26.67
"882",36,"7",53.34
"883",36,"8",26.67
"884",36,"9",53.34
"885",36,"10",8.89
"886",36,"11",8.89
"887",36,"12",53.34
"888",36,"13",8.89
"889",36,"14",26.67
"890",36,"15",8.89
"891",36,"16",26.67
"892",36,"17",80.01
"893",36,"18",26.67
"894",36,"19",26.67
"895",36,"20",26.67
"896",36,"21",26.67
"897",36,"22",53.34
"898",36,"23",8.89
"899",36,"24",53.34
"900",36,"25",26.67
"901",37,"1",53.34
"902",37,"2",26.67
"903",37,"3",26.67
"904",37,"4",26.67
"905",37,"5",8.89
"906",37,"6",26.67
"907",37,"7",53.34
"908",37,"8",53.34
"909",37,"9",26.67
"910",37,"10",53.34
"911",37,"11",8.89
"912",37,"12",26.67
"913",37,"13",26.67
"914",37,"14",53.34
"915",37,"15",26.67
"916",37,"16",26.67
"917",37,"17",26.67
"918",37,"18",8.89
"919",37,"19",26.67
"920",37,"20",26.67
"921",37,"21",26.67
"922",37,"22",53.34
"923",37,"23",26.67
"924",37,"24",26.67
"925",37,"25",8.89
"926",38,"1",26.67
"927",38,"2",53.34
"928",38,"3",26.67
"929",38,"4",26.67
"930",38,"5",26.67
"931",38,"6",26.67
"932",38,"7",8.89
"933",38,"8",26.67
"934",38,"9",80.01
"935",38,"10",8.89
"936",38,"11",26.67
"937",38,"12",26.67
"938",38,"13",26.67
"939",38,"14",26.67
"940",38,"15",53.34
"941",38,"16",53.34
"942",38,"17",53.34
"943",38,"18",26.67
"944",38,"19",53.34
"945",38,"20",8.89
"946",38,"21",8.89
"947",38,"22",26.67
"948",38,"23",53.34
"949",38,"24",26.67
"950",38,"25",26.67
"951",39,"1",26.67
"952",39,"2",26.67
"953",39,"3",80.01
"954",39,"4",26.67
"955",39,"5",26.67
"956",39,"6",53.34
"957",39,"7",26.67
"958",39,"8",8.89
"959",39,"9",53.34
"960",39,"10",26.67
"961",39,"11",26.67
"962",39,"12",53.34
"963",39,"13",26.67
"964",39,"14",26.67
"965",39,"15",26.67
"966",39,"16",26.67
"967",39,"17",26.67
"968",39,"18",53.34
"969",39,"19",26.67
"970",39,"20",26.67
"971",39,"21",26.67
"972",39,"22",53.34
"973",39,"23",26.67
"974",39,"24",53.34
"975",39,"25",53.34
"976",40,"1",53.34
"977",40,"2",26.67
"978",40,"3",26.67
"979",40,"4",53.34
"980",40,"5",26.67
"981",40,"6",80.01
"982",40,"7",53.34
"983",40,"8",26.67
"984",40,"9",53.34
"985",40,"10",53.34
"986",40,"11",26.67
"987",40,"12",53.34
"988",40,"13",26.67
"989",40,"14",8.89
"990",40,"15",26.67
"991",40,"16",53.34
"992",40,"17",26.67
"993",40,"18",26.67
"994",40,"19",26.67
"995",40,"20",26.67
"996",40,"21",26.67
"997",40,"22",26.67
"998",40,"23",53.34
"999",40,"24",26.67
"1000",40,"25",53.34
"1001",41,"1",26.67
"1002",41,"2",26.67
"1003",41,"3",8.89
"1004",41,"4",26.67
"1005",41,"5",53.34
"1006",41,"6",8.89
"1007",41,"7",53.34
"1008",41,"8",8.89
"1009",41,"9",53.34
"1010",41,"10",26.67
"1011",41,"11",53.34
"1012",41,"12",26.67
"1013",41,"13",26.67
"1014",41,"14",26.67
"1015",41,"15",8.89
"1016",41,"16",26.67
"1017",41,"17",53.34
"1018",41,"18",80.01
"1019",41,"19",8.89
"1020",41,"20",80.01
"1021",41,"21",26.67
"1022",41,"22",8.89
"1023",41,"23",8.89
"1024",41,"24",8.89
"1025",41,"25",53.34
"1026",42,"1",8.89
"1027",42,"2",8.89
"1028",42,"3",53.34
"1029",42,"4",53.34
"1030",42,"5",26.67
"1031",42,"6",26.67
"1032",42,"7",53.34
"1033",42,"8",26.67
"1034",42,"9",8.89
"1035",42,"10",26.67
"1036",42,"11",26.67
"1037",42,"12",26.67
"1038",42,"13",26.67
"1039",42,"14",53.34
"1040",42,"15",53.34
"1041",42,"16",26.67
"1042",42,"17",8.89
"1043",42,"18",26.67
"1044",42,"19",80.01
"1045",42,"20",26.67
"1046",42,"21",53.34
"1047",42,"22",26.67
"1048",42,"23",26.67
"1049",42,"24",26.67
"1050",42,"25",26.67
"1051",43,"1",53.34
"1052",43,"2",26.67
"1053",43,"3",26.67
"1054",43,"4",26.67
"1055",43,"5",26.67
"1056",43,"6",26.67
"1057",43,"7",53.34
"1058",43,"8",53.34
"1059",43,"9",80.01
"1060",43,"10",26.67
"1061",43,"11",26.67
"1062",43,"12",26.67
"1063",43,"13",26.67
"1064",43,"14",26.67
"1065",43,"15",26.67
"1066",43,"16",26.67
"1067",43,"17",26.67
"1068",43,"18",26.67
"1069",43,"19",53.34
"1070",43,"20",26.67
"1071",43,"21",26.67
"1072",43,"22",26.67
"1073",43,"23",26.67
"1074",43,"24",53.34
"1075",43,"25",26.67
"1076",44,"1",26.67
"1077",44,"2",53.34
"1078",44,"3",26.67
"1079",44,"4",8.89
"1080",44,"5",26.67
"1081",44,"6",26.67
"1082",44,"7",26.67
"1083",44,"8",8.89
"1084",44,"9",8.89
"1085",44,"10",8.89
"1086",44,"11",26.67
"1087",44,"12",26.67
"1088",44,"13",26.67
"1089",44,"14",26.67
"1090",44,"15",53.34
"1091",44,"16",26.67
"1092",44,"17",26.67
"1093",44,"18",26.67
"1094",44,"19",8.89
"1095",44,"20",8.89
"1096",44,"21",26.67
"1097",44,"22",53.34
"1098",44,"23",26.67
"1099",44,"24",26.67
"1100",44,"25",26.67
"1101",45,"1",26.67
"1102",45,"2",8.89
"1103",45,"3",26.67
"1104",45,"4",26.67
"1105",45,"5",53.34
"1106",45,"6",26.67
"1107",45,"7",53.34
"1108",45,"8",26.67
"1109",45,"9",8.89
"1110",45,"10",53.34
"1111",45,"11",53.34
"1112",45,"12",26.67
"1113",45,"13",26.67
"1114",45,"14",26.67
"1115",45,"15",53.34
"1116",45,"16",26.67
"1117",45,"17",26.67
"1118",45,"18",26.67
"1119",45,"19",53.34
"1120",45,"20",26.67
"1121",45,"21",53.34
"1122",45,"22",26.67
"1123",45,"23",53.34
"1124",45,"24",26.67
"1125",45,"25",80.01
"1126",46,"1",26.67
"1127",46,"2",8.89
"1128",46,"3",53.34
"1129",46,"4",26.67
"1130",46,"5",80.01
"1131",46,"6",26.67
"1132",46,"7",26.67
"1133",46,"8",53.34
"1134",46,"9",26.67
"1135",46,"10",26.67
"1136",46,"11",53.34
"1137",46,"12",26.67
"1138",46,"13",26.67
"1139",46,"14",8.89
"1140",46,"15",26.67
"1141",46,"16",26.67
"1142",46,"17",26.67
"1143",46,"18",53.34
"1144",46,"19",53.34
"1145",46,"20",53.34
"1146",46,"21",26.67
"1147",46,"22",26.67
"1148",46,"23",53.34
"1149",46,"24",26.67
"1150",46,"25",53.34
"1151",47,"1",26.67
"1152",47,"2",53.34
